Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40)
9.572222010252165e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33475129564918227,0.1158536975117245,0.022821567693054285,0.0,4.2536584287783907e-25,6.8913363170556151e-12,0.0,4.6976635182270302e-19,0.0,9.6742362495916093e-10,1.2299032691940089e-36,9.5364095326452218e-10,4.3554265649048888e-27,5.7336328659821264e-32,0.0,0.0,5.942986529385938e-23,7.6641567020836898e-28,0.0028162675508173096
9.711366693972283e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33472264991067563,0.11582505175920718,0.022821567693054285,0.0,4.5039168306797543e-25,7.0904538028200624e-12,0.0,4.9050287940257778e-19,0.0,9.8143426611578358e-10,1.3385571828462711e-36,9.6725335949108646e-10,4.6042867142890371e-27,6.1601802063022778e-32,0.0,0.0,6.2034136956921303e-23,8.2225549536248283e-28,0.0028449132893240007
9.850511377692401e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3346942806821212,0.11579668251664268,0.022821567693054285,0.0,4.7649962982494774e-25,7.2923430422017662e-12,0.0,5.1183998157718544e-19,0.0,9.9544428009739707e-10,1.4550223758636853e-36,9.8085959503660793e-10,4.8633917811275234e-27,6.6116797870725975e-32,0.0,0.0,6.4712739016400108e-23,8.8126145079939307e-28,0.002873282517878455
9.989656061412519e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33466618529220882,0.11576858711272102,0.022821567693054285,0.0,5.0372003788896334e-25,7.4970018578885238e-12,0.0,5.337862049444298e-19,0.0,1.0094536975353343e-09,1.5797348183367465e-36,9.9445969488706201e-10,5.1330014537260623e-27,7.0892055638339594e-32,0.0,0.0,6.7466683206899627e-23,9.4356287578204846e-28,0.0029013779077907216
9.999999999999999e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33466410755847226,0.11576650937794299,0.022821567693054285,0.0,5.0578885838136525e-25,7.5123266182896748e-12,0.0,5.3544223497721732e-19,0.0,1.0104951268727829e-09,1.589347614942919e-36,9.954704747070201e-10,5.1534707877138494e-27,7.1257741564336608e-32,0.0,0.0,6.7674446429438131e-23,9.4832956696520749e-28,0.002903455641527324
1.0128800745132637e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33463836109547335,0.11574076290197662,0.022821567693054285,0.0,5.3208366314977212e-25,7.7044280960384982e-12,0.0,5.5635009633331843e-19,0.0,1.0234625487675061e-09,1.7131479197630798e-36,1.0080536936880585e-09,5.4133778080588132e-27,7.5938615523182034e-32,0.0,0.0,7.029698004762655e-23,1.0092923627084106e-27,0.0029292021045262675
1.0267945428852755e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33461080547204819,0.11571320726454309,0.022821567693054285,0.0,5.6162166210664452e-25,7.9146196259821286e-12,0.0,5.7954020286365816e-19,0.0,1.037470863841104e-09,1.8557329619364306e-36,1.0216416257481467e-09,5.7047852830069503e-27,8.1267822271925543e-32,0.0,0.0,7.3204638851450352e-23,1.0785857860289467e-27,0.0029567577279514725
1.0407090112572873e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33458351582742185,0.11568591760590906,0.022821567693054285,0.0,5.9236559133419176e-25,8.1275743399263869e-12,0.0,6.0336507200530294e-19,0.0,1.0514786725152896e-09,2.0079795338891163e-36,1.03522352504209e-09,6.007490655819384e-27,8.6891329205169949e-32,0.0,0.0,7.6190667733885415e-23,1.1515823309639572e-27,0.0029840473725777088
1.0546234796292991e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33455648959218637,0.11565889135666618,0.022821567693054285,0.0,6.2434740691819991e-25,8.3432901526456707e-12,0.0,6.2783325164004739e-19,0.0,1.0654860042639605e-09,2.1703959549282125e-36,1.0487994252142557e-09,6.3217630164353717e-27,9.2821102217770433e-32,0.0,0.0,7.9256073622472172e-23,1.2284245232450375e-27,0.0030110736078132337
1.0685379480013109e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.334529724221797,0.11563212597226999,0.022821567693054285,0.0,6.5759946393715809e-25,8.561765001193604e-12,0.0,6.5295329011937351e-19,0.0,1.0794928882783923e-09,2.3435097163675737e-36,1.0623693595818283e-09,6.6478737436153525e-27,9.9069423754823318e-32,0.0,0.0,8.2401862265524519e-23,1.3092582572309961e-27,0.0030378389782025439
