Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58)
6.278794819384809e-10,0.004023131612903226,0.0,0.0,0.010930771974875169,0.49999976959285714,1.7619269065220679e-31,4.684289044263876e-06,9.5283687757039297e-18,1.5483715420242332e-23,5.4084925346252609e-33,2.9659482486381044e-10,8.0979378477532985e-10,0.0,0.49868286109448734,1.4027650631943144e-07,0.0012455965482279553,2.3040714359794231e-07,3.0414382230138651e-05,1.2028220472804308e-06,1.0572506524436887e-05
6.317204338329884e-10,0.004023131612903226,0.0,0.0,0.010930713861543579,0.49999976959408232,1.8363580150668413e-31,4.7139732557305864e-06,9.7349828787925958e-18,1.5932960568007805e-23,5.6529117599255429e-33,2.9684228582789574e-10,8.1657653738044326e-10,0.0,0.49868204571091285,1.402755310732383e-07,0.0012459656239267544,2.3040591844910253e-07,3.0608160517982934e-05,1.2021920866973609e-06,1.0631252017001225e-05
6.355613857274959e-10,0.004023131612903226,0.0,0.0,0.010930655809452525,0.49999976959530612,1.9133812165645415e-31,4.7436257956287825e-06,9.944515151235994e-18,1.6391910936290071e-23,5.9064944190515708e-33,2.9708599689422029e-10,8.2335933870554381e-10,0.0,0.49868124111365159,1.4027455965163086e-07,0.0012463249974545446,2.3040469459155037e-07,3.0801427880850548e-05,1.2015631767109805e-06,1.0689935213324045e-05
6.394023376220035e-10,0.004023131612903226,0.0,0.0,0.010930597818470729,0.4999997695965287,1.9930675278219432e-31,4.7732467327144164e-06,1.0156983834842632e-17,1.6860703064767406e-23,6.1695129990517227e-33,2.9732605805606902e-10,8.3014209510338601e-10,0.0,0.49868044703565884,1.4027359197781907e-07,0.0012466749369851411,2.3040347202251757e-07,3.0994183687146062e-05,1.2009353142341438e-06,1.074855624783646e-05
6.43243289516511e-10,0.004023131612903226,0.0,0.0,0.01093053988846737,0.49999976959775,2.0754893795391891e-31,4.8028361355086156e-06,1.0372407120173094e-17,1.7339474342786332e-23,6.4422459467949744e-33,2.975625667009238e-10,8.3692471550917201e-10,0.0,0.49867966321721957,1.4027262797675403e-07,0.0012470157032373362,2.3040225073924473e-07,3.1186427368008335e-05,1.2003084961968715e-06,1.0807115254517068e-05
6.470842414110185e-10,0.004023131612903226,0.0,0.0,0.010930482019312047,0.49999976959897002,2.1607206336232959e-31,4.8323940722989977e-06,1.0590803146792092e-17,1.7828363006976896e-23,6.7249777511536987e-33,2.9779561767817151e-10,8.4370711137308324e-10,0.0,0.49867888940574534,1.40271667575649e-07,0.0012473475496823619,2.3040103073898207e-07,3.137815841542683e-05,1.1996827195465017e-06,1.0865612366894739e-05
6.50925193305526e-10,0.004023131612903226,0.0,0.0,0.010930424210874781,0.49999976960018877,2.2488366005727107e-31,4.8619206111409686e-06,1.0812190003520211e-17,1.8327508138879967e-23,7.017999025622502e-33,2.9802530336502466e-10,8.504891965945979e-10,0.0,0.49867812535557593,1.4027071070382848e-07,0.0012476707227454748,2.3039981201898868e-07,3.1569376380411642e-05,1.1990579812477942e-06,1.0924047718051323e-05
6.547661452000336e-10,0.004023131612903226,0.0,0.0,0.010930366463026024,0.49999976960140624,2.339914056931268e-31,4.8914158198590458e-06,1.1036585728685204e-17,1.8837049662586216e-23,7.3216065913643017e-33,2.9825171373073061e-10,8.5727088745851291e-10,0.0,0.4986773708277869,1.4026975729210412e-07,0.0012479854620019301,2.3039859457653216e-07,3.1760080871214843e-05,1.1984342782829857e-06,1.0982421440624348e-05
6.586070970945411e-10,0.004023131612903226,0.0,0.0,0.010930308775636657,0.49999976960262232,2.4340312628109944e-31,4.9208797660481676e-06,1.126400831037276e-17,1.9357128342386834e-23,7.636103560681188e-33,2.9847493639911652e-10,8.6405210257263239e-10,0.0,0.4986766255900032,1.4026880727333355e-07,0.001248292000367507,2.3039737840888937e-07,3.1950271551601874e-05,1.1978116076518175e-06,1.1040733666809662e-05
6.624480489890486e-10,0.004023131612903226,0.0,0.0,0.01093025114857797,0.4999997696038373,2.5312679794829947e-31,4.9503125170750025e-06,1.1494475686676635e-17,1.9887885780435857e-23,7.9617994209066283e-33,2.986950567095195e-10,8.708327628070625e-10,0.0,0.49867588941621632,1.4026786058247628e-07,0.0012485905642837661,2.3039616351334652e-07,3.2139948139171062e-05,1.1971899663715245e-06,1.1098984528364048e-05
