Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57)
5.406543629249153e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855197121508422,0.0,0.17647058700585863,0.0,0.0,3.849016047405445e-14,3.8251782007762426e-27,0.0,1.3835835650231582e-16,0.0,0.0,5.76965394692832e-15,0.0,0.1176068220438541,2.0157957647647924e-28,0.0,0.0,0.0,4.0112600727720624e-05,5.988282903933083e-09,1.2535533565613049e-07,8.541859091282503e-11,1.2526999953847587e-07
5.436594384049662e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855196857938596,0.0,0.1764705870058589,0.0,0.0,3.9135369853319826e-14,3.910984515872617e-27,0.0,1.4067954368363753e-16,0.0,0.0,5.833872422931893e-15,0.0,0.11760679568687013,2.0724753579033855e-28,0.0,0.0,0.0,4.013826110186416e-05,5.9882823509921835e-09,1.260519441463589e-07,8.54190951182368e-11,1.2596660887449374e-07
5.466645138850171e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855196599191965,0.0,0.1764705870058592,0.0,0.0,3.978774824854756e-14,3.998226350208264e-27,0.0,1.430265462003108e-16,0.0,0.0,5.898445263579608e-15,0.0,0.11760676981220561,2.1304227670428194e-28,0.0,0.0,0.0,4.01634391571742e-05,5.988281808169901e-09,1.2674855200757722e-07,8.541959996238041e-11,1.2666321759550357e-07
5.49669589365068e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855196345177871,0.0,0.17647058700585946,0.0,0.0,4.044733524102323e-14,4.08691962475234e-27,0.0,1.453995067911018e-16,0.0,0.0,5.963372451922361e-15,0.0,0.11760674441079484,2.1896591423944615e-28,0.0,0.0,0.0,4.01881439593142e-05,5.988281275276038e-09,1.2744515924486395e-07,8.542010543323604e-11,1.2735982570667466e-07
5.526746648451189e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855196095807362,0.0,0.17647058700585974,0.0,0.0,4.111417041164013e-14,4.17708034826185e-27,0.0,1.4779856819459296e-16,0.0,0.0,6.0286539710144135e-15,0.0,0.11760671947374261,2.2502058680819482e-28,0.0,0.0,0.0,4.0212384403549364e-05,5.988280752123984e-09,1.2814176586320064e-07,8.542061151900982e-11,1.2805643321307937e-07
5.556797403251698e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855195850993159,0.0,0.17647058700585996,0.0,0.0,4.178829334089931e-14,4.2687246172815225e-27,0.0,1.5022387314918369e-16,0.0,0.0,6.094289803913356e-15,0.0,0.11760669499232075,2.3120845634273945e-28,0.0,0.0,0.0,4.023616921794952e-05,5.988280238530634e-09,1.288383718674737e-07,8.542111820812955e-11,1.2875304011969436e-07
5.586848158052207e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855195610649619,0.0,0.1764705870058602,0.0,0.0,4.246974360890984e-14,4.3618686161437194e-27,0.0,1.5267556439309066e-16,0.0,0.0,6.16027993368005e-15,0.0,0.11760667095796536,2.3753170842376104e-28,0.0,0.0,0.0,4.025950696653175e-05,5.988279734316321e-09,1.29534977262476e-07,8.542162548924045e-11,1.2944964643140288e-07
5.616898912852717e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855195374692712,0.0,0.17647058700586046,0.0,0.0,4.3158560795388814e-14,4.4565286169682954e-27,0.0,1.551537846643485e-16,0.0,0.0,6.226624343378589e-15,0.0,0.1176066473622733,2.4399255240903107e-28,0.0,0.0,0.0,4.0282406052343874e-05,5.988279239304754e-09,1.302315820529089e-07,8.542213335120123e-11,1.3014625215299611e-07
5.646949667653226e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855195143039989,0.0,0.1764705870058607,0.0,0.0,4.3854784479661535e-14,4.552720979662515e-27,0.0,1.576586767008104e-16,0.0,0.0,6.293323016076243e-15,0.0,0.11760662419699952,2.5059322156203188e-28,0.0,0.0,0.0,4.0304874720490064e-05,5.988278753322964e-09,1.3092818624338373e-07,8.542264178308003e-11,1.308428572891753e-07
5.677000422453735e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855194915610546,0.0,0.17647058700586096,0.0,0.0,4.45584542406616e-14,4.650462151920918e-27,0.0,1.6019038324014803e-16,0.0,0.0,6.360375934843418e-15,0.0,0.11760660145405384,2.5733597318057777e-28,0.0,0.0,0.0,4.032692106109951e-05,5.988278276201223e-09,1.3162478983842354e-07,8.54231507741504e-11,1.3153946184455313e-07
