Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45)
1.0336284298219688e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599527644498,0.0,0.17647058964782644,0.0,0.0,2.6927356771756355e-28,0.0,0.0,0.0,0.0,0.0,2.1157060607934097e-24,0.0,0.11764705729058803,0.0,0.0,0.0,0.0,2.7070142078486402e-09,7.043473250652831e-10,2.3977674449148e-12,2.3977674449169165e-12
1.1137045577222865e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599525003686,0.0,0.1764705896208253,0.0,0.0,3.368295349896195e-28,0.0,0.0,0.0,0.0,0.0,2.456199704398088e-24,0.0,0.1176470570806948,0.0,0.0,0.0,0.0,2.916721669457964e-09,7.583495778248949e-10,2.5835246495276227e-12,2.5835246495300796e-12
1.1937806856226042e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599522364135,0.0,0.1764705895938867,0.0,0.0,4.148333466022306e-28,0.0,0.0,0.0,0.0,0.0,2.822088020688792e-24,0.0,0.11764705687080265,0.0,0.0,0.0,0.0,3.126428070700373e-09,8.122268015212872e-10,2.7692818534640962e-12,2.7692818534669195e-12
1.2738568135229219e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559951972593,0.0,0.17647058956701486,0.0,0.0,5.040362097143749e-28,0.0,0.0,0.0,0.0,0.0,3.2133710094852657e-24,0.0,0.11764705666091155,0.0,0.0,0.0,0.0,3.3361334115813165e-09,8.659704344576904e-10,2.955039056724291e-12,2.955039056727506e-12
1.3539329414232396e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599517089157,0.0,0.1764705895402141,0.0,0.0,6.051893314761876e-28,0.0,0.0,0.0,0.0,0.0,3.6300486709396236e-24,0.0,0.1176470564510215,0.0,0.0,0.0,0.0,3.5458376921062364e-09,9.195720022877637e-10,3.1407962593082856e-12,3.140796259311917e-12
1.4340090693235573e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995144538976,0.0,0.1764705895134885,0.0,0.0,7.190439190280133e-28,0.0,0.0,0.0,0.0,0.0,4.0721210048982604e-24,0.0,0.11764705624113253,0.0,0.0,0.0,0.0,3.755540912280595e-09,9.730231229021089e-10,3.326553461216172e-12,3.3265534612202455e-12
1.5140851972238748e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995118202365,0.0,0.1764705894868423,0.0,0.0,8.463511794998037e-28,0.0,0.0,0.0,0.0,0.0,4.539588010866249e-24,0.0,0.1176470560312446,0.0,0.0,0.0,0.0,3.965243072109871e-09,1.0263155112294287e-09,3.51231066244805e-12,3.5123106624525914e-12
1.6742374530245102e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599506558036,0.0,0.1764705894338043,0.0,0.0,1.1443285476738323e-27,0.0,0.0,0.0,0.0,0.0,5.5507060372793945e-24,0.0,0.11764705561147196,0.0,0.0,0.0,0.0,4.384644210755113e-09,1.1323914659719381e-09,3.883825062884244e-12,3.883825062889798e-12
1.8343897088251456e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995013031943,0.0,0.1764705893811322,0.0,0.0,1.5051310928370835e-27,0.0,0.0,0.0,0.0,0.0,6.663402746392141e-24,0.0,0.11764705519170357,0.0,0.0,0.0,0.0,4.804041108085924e-09,1.2377357123291243e-09,4.255339460617897e-12,4.255339460624563e-12
1.9785267390457175e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994965806447,0.0,0.1764705893340659,0.0,0.0,1.888535891060391e-27,0.0,0.0,0.0,0.0,0.0,7.75167955612954e-24,0.0,0.1176470548139156,0.0,0.0,0.0,0.0,5.181494689396185e-09,1.3318683936740374e-09,4.5897024162684865e-12,4.589702416276241e-12
