Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19)
2.577037216073755e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555988278602407,0.0,0.176470587021939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699256153924,0.0,0.0,0.0,0.0,6.743846073215904e-08,5.956122044578469e-09,0.0
2.6081040821980745e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555988197144794,0.0,0.17647058702081056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699174921997,0.0,0.0,0.0,0.0,6.825077999134587e-08,5.9583789379906986e-09,0.0
2.639170948322394e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598811570418,0.0,0.1764705870197591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699093691666,0.0,0.0,0.0,0.0,6.906308331583014e-08,5.960481865444377e-09,0.0
2.6702378144467135e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598803427949,0.0,0.17647058701877938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764699012462927,0.0,0.0,0.0,0.0,6.987537070592487e-08,5.962441281555411e-09,0.0
2.701304680571033e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598795286978,0.0,0.17647058701786653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698931235781,0.0,0.0,0.0,0.0,7.068764216194299e-08,5.964266937516004e-09,0.0
2.7323715466953526e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555987871474126,0.0,0.17647058701701604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698850010229,0.0,0.0,0.0,0.0,7.149989768419746e-08,5.965967927569807e-09,0.0
2.763438412819672e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555987790091686,0.0,0.17647058701622365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698768786269,0.0,0.0,0.0,0.0,7.231213727300123e-08,5.967552732524223e-09,0.0
2.7945052789439916e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555987708721664,0.0,0.17647058701548538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698687563903,0.0,0.0,0.0,0.0,7.312436092866709e-08,5.969029260480647e-09,0.0
2.825572145068311e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855598762736334,0.0,0.17647058701479756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698606343132,0.0,0.0,0.0,0.0,7.393656865150794e-08,5.970404884949703e-09,0.0
2.8566390111926306e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555987546015993,0.0,0.17647058701415677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698525123954,0.0,0.0,0.0,0.0,7.474876044183658e-08,5.971686480505225e-09,0.0
2.88770587731695e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555987464679006,0.0,0.17647058701355978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698443906368,0.0,0.0,0.0,0.0,7.556093629996584e-08,5.972880456123499e-09,0.0
2.9187727434412696e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555987383351783,0.0,0.17647058701300358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764698362690376,0.0,0.0,0.0,0.0,7.637309622620844e-08,5.9739927863497965e-09,0.0
