Time (s),Volume (m^3),N2,Ne,X(1),H2(2),H(3),NH3(4),H2X(49),HX(5)
3.6700580243433295e-07,0.03101298056,0.33333333333333331,0.0,0.021879111365273578,0.63174314147640365,3.8705000483289477e-29,0.0,0.0017885181218023852,0.066270014136924044
3.687481121900907e-07,0.03101298056,0.33333333333333331,0.0,0.021878302255540258,0.63174277213169594,3.8859805449267714e-29,0.0,0.0017884477014848523,0.066270893666974903
3.7049042194584847e-07,0.03101298056,0.33333333333333331,0.0,0.021877520236167486,0.63174241515319129,3.9014159653557906e-29,0.0,0.0017883796391208867,0.066271743748711642
3.7223273170160623e-07,0.03101298056,0.33333333333333331,0.0,0.021876764399524056,0.63174207012658046,3.9168064205687015e-29,0.0,0.0017883138556992941,0.066272565368776681
3.73975041457364e-07,0.03101298056,0.33333333333333331,0.0,0.021876033868427441,0.63174173665145161,3.9321520218772605e-29,0.0,0.0017882502748602003,0.06627335948071239
3.7571735121312175e-07,0.03101298056,0.33333333333333331,0.0,0.021875327795119658,0.63174141434082487,3.9474528809304569e-29,0.0,0.0017881888228058363,0.066274127006074518
3.774596609688795e-07,0.03101298056,0.33333333333333331,0.0,0.021874645360277827,0.63174110282069984,3.9627091096933523e-29,0.0,0.0017881294282143358,0.066274868835507872
3.792019707246373e-07,0.03101298056,0.33333333333333331,0.0,0.021873985772058152,0.63174080172961899,3.9779208204265895e-29,0.0,0.0017880720221564543,0.066275585829785419
3.8094428048039504e-07,0.03101298056,0.33333333333333331,0.0,0.021873348265172173,0.63174051071824677,3.9930881256665411e-29,0.0,0.0017880165380150985,0.066276278820812773
3.826865902361528e-07,0.03101298056,0.33333333333333331,0.0,0.021872732099994241,0.63174022944896147,4.0082111382060788e-29,0.0,0.0017879629114075811,0.06627694861259821
3.8442889999191056e-07,0.03101298056,0.33333333333333331,0.0,0.021872136561699094,0.63173995759546253,4.0232899710759477e-29,0.0,0.0017879110801104995,0.066277595982190435
3.861712097476683e-07,0.03101298056,0.33333333333333331,0.0,0.021871560959428556,0.63173969484238879,4.0383247375267378e-29,0.0,0.0017878609839871501,0.066278221680584323
3.879135195034261e-07,0.03101298056,0.33333333333333331,0.0,0.02187100462548635,0.63173944088495249,4.0533155510114074e-29,0.0,0.0017878125649173943,0.066278826433596283
3.8965582925918384e-07,0.03101298056,0.33333333333333331,0.0,0.021870466914560023,0.63173919542858326,4.0682625251683696e-29,0.0,0.0017877657667298957,0.066279410942710101
3.913981390149416e-07,0.03101298056,0.33333333333333331,0.0,0.02186994720296917,0.63173895818858428,4.0831657738051253e-29,0.0,0.0017877205351366377,0.066279975885894238
3.9314044877069937e-07,0.03101298056,0.33333333333333331,0.0,0.021869444887938991,0.63173872888980276,4.0980254108823926e-29,0.0,0.0017876768176696542,0.066280521918391386
3.9488275852645713e-07,0.03101298056,0.33333333333333331,0.0,0.021868959386898264,0.63173850726630731,4.1128415504987655e-29,0.0,0.0017876345636198949,0.066281049673481876
3.966250682822149e-07,0.03101298056,0.33333333333333331,0.0,0.021868490136801054,0.63173829306107965,4.1276143068758503e-29,0.0,0.0017875937239781477,0.066281559763220838
3.9836737803797265e-07,0.03101298056,0.33333333333333331,0.0,0.021868036593471234,0.63173808602571468,4.1423437943438848e-29,0.0,0.0017875542513779558,0.066282052779150849
4.001096877937304e-07,0.03101298056,0.33333333333333331,0.0,0.021867598230969086,0.63173788592013236,4.1570301273278081e-29,0.0,0.0017875161000404584,0.066282529292990486
4.0185199754948817e-07,0.03101298056,0.33333333333333331,0.0,0.021867174540979209,0.63173769251229728,4.1716734203338006e-29,0.0,0.0017874792257210885,0.066282989857299746
4.0359430730524593e-07,0.03101298056,0.33333333333333331,0.0,0.021866765032219068,0.6317375055779485,4.1862737879362318e-29,0.0,0.0017874435856580682,0.066283435006122896
4.053366170610037e-07,0.03101298056,0.33333333333333331,0.0,0.021866369229867441,0.6317373249003404,4.200831344765056e-29,0.0,0.0017874091385226341,0.066283865255609989
4.0707892681676146e-07,0.03101298056,0.33333333333333331,0.0,0.02186598667501205,0.63173715026998845,4.2153462054935975e-29,0.0,0.0017873758443709444,0.066284281104617052
4.088212365725192e-07,0.03101298056,0.33333333333333331,0.0,0.021865616924115872,0.63173698148442714,4.2298184848267457e-29,0.0,0.001787343664597601,0.066284683035286576
4.10563546328277e-07,0.03101298056,0.33333333333333331,0.0,0.021865259548501301,0.63173681834797335,4.2442482974895375e-29,0.0,0.0017873125618907365,0.066285071513608018
4.1230585608403474e-07,0.03101298056,0.33333333333333331,0.0,0.021864914133851738,0.63173666067149925,4.2586357582160978e-29,0.0,0.0017872825001886139,0.066285446989959695
4.140481658397925e-07,0.03101298056,0.33333333333333331,0.0,0.021864580279729869,0.63173650827221395,4.2729809817389648e-29,0.0,0.0017872534446376858,0.066285809899632495
