Time (s),Volume (m^3),Ar,Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),HeX(44),C2H4X(59)
1.5802458556193485e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027119484137875785,0.49997318302066102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999931121717075,2.6816979339239487e-05,6.8878282925353986e-06
1.5997754786607952e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027115652568920935,0.49997285366612565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999305836934743,2.7146333874614798e-05,6.9416306526456402e-06
1.619305101702242e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027111827122576091,0.49997252435948047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999300513135814,2.747564051981085e-05,6.9948686419342932e-06
1.6388347247436886e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027108007740452912,0.49997219510065122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999295245197511,2.7804899349116951e-05,7.0475480249461608e-06
1.6583643477851353e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027104194364758723,0.49997186588956416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999290032549265,2.8134110436116224e-05,7.0996745073652719e-06
1.677893970826582e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027100386938290447,0.49997153672614658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999284874626349,2.8463273853692783e-05,7.1512537366158873e-06
1.6974235938680287e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027096585404428578,0.49997120761032626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999279770869759,2.8792389674038901e-05,7.2022913024574025e-06
1.7169532169094754e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027092789707131178,0.49997087854203159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999927472072625,2.9121457968662028e-05,7.2527927375731165e-06
1.736482839950922e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027088999790928093,0.49997054952119191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999269723648193,2.9450478808391801e-05,7.3027635181530603e-06
1.7560124629923688e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027085215600914959,0.49997022054773688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999264779093566,2.9779452263386942e-05,7.3522090644708118e-06
1.7755420860338155e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027081437082747575,0.49996989162159716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999925988652586,3.0108378403142134e-05,7.4011347414544644e-06
1.7950717090752622e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027077664182636072,0.49996956274270382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999255045414076,3.0437257296494749e-05,7.4495458592517306e-06
1.814601332116709e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027073896847339329,0.49996923391098874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999925025523263,3.0766089011631606e-05,7.4974476737893085e-06
1.8341309551581556e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027070135024159316,0.49996890512638426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999245515461282,3.1094873616095532e-05,7.5448453873265165e-06
1.8536605781996023e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027066378660935576,0.49996857638882347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999240825585106,3.1423611176792044e-05,7.5917441490032802e-06
1.873190201241049e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027062627706039757,0.49996824769824033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999236185094476,3.1752301759995738e-05,7.6381490553825171e-06
1.8927198242824957e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027058882108370102,0.49996791905456894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999231593484911,3.208094543135679e-05,7.684065150987005e-06
1.9122494473239424e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027055141817346156,0.49996759045774436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999227050257128,3.2409542255907285e-05,7.7294974288307274e-06
1.931779070365389e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027051406782903418,0.49996726190770224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999222554916922,3.2738092298067596e-05,7.7744508309448538e-06
1.9513086934068358e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027047676955488042,0.4999669334043787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999218106975124,3.3066595621652509e-05,7.8189302488982795e-06
1.9708383164482825e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027043952286051631,0.49996660494771039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999213705947593,3.3395052289877521e-05,7.8629405243129149e-06
1.9903679394897292e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027040232726046154,0.49996627653763487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999209351355084,3.3723462365364829e-05,7.9064864493736583e-06
2.009897562531176e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027036518227418712,0.49996594817409018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999205042723283,3.4051825910149512e-05,7.9495727673332059e-06
2.0294271855726226e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027032808742606571,0.4999656198570146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999200779582709,3.4380142985685425e-05,7.9922041730116807e-06
2.0489568086140693e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027029104224532115,0.49996529158634745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999196561468684,3.4708413652851163e-05,8.0343853132911727e-06
2.068486431655516e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027025404626597927,0.49996496336202834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999192387921249,3.5036637971955925e-05,8.076120787605209e-06
2.0880160546969628e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027021709902681854,0.49996463518399753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999188258485172,3.5364816002745316e-05,8.1174151484232665e-06
2.1075456777384095e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027018020007132165,0.49996430705219586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999184172709837,3.5692947804407099e-05,8.1582729017302789e-06
2.127075300779856e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027014334894762751,0.49996397896656469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999180130149262,3.6021033435576884e-05,8.198698507501323e-06
2.146604923821303e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027010654520848382,0.49996365092704598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999176130362,3.6349072954343786e-05,8.238696380171367e-06
2.1661345468627496e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027006978841119978,0.49996332293358203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999917217291111,3.6677066418255933e-05,8.2782708891003164e-06
2.1856641699041963e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027003307811759949,0.49996299498611602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999168257364113,3.7005013884326037e-05,8.3174263590332399e-06
2.205193792945643e-11,0.0009467769729032257,0.0,0.0,0.0,0.0026999641389397612,0.49996266708459125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999916438329296,3.733291540903687e-05,8.3561670705559212e-06
