Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H3(38)
7.233699623290745e-16,0.004023131612903226,0.0,0.0,0.010942916711064916,0.49999999970964398,1.7412637694937873e-46,5.1190290442713081e-23,5.291113664348255e-26,1.5498085556793528e-37,4.780554615724626e-59,6.6101147080438884e-16,4.1663860791920833e-16,2.8686281365642851e-37,0.49999999236185444,9.5880371934109984e-10,6.6659030255062156e-09,2.903560721656919e-10,1.4524764015475242e-16,1.3437065311456099e-11,1.3434999357897915e-11,1.0202756361138691e-19,3.1433996842620216e-15
8.302883863513588e-16,0.004023131612903226,0.0,0.0,0.010942916523046032,0.49999999966675862,3.0172268988691332e-46,6.7441046764456651e-23,6.9708231058845012e-26,2.3433450291841989e-37,9.4761027738244635e-59,7.5871266287757296e-16,4.7822055720471625e-16,4.7136462435879707e-37,0.49999999123344852,1.0999657499243036e-09,7.651160516395317e-09,3.3324142542799531e-10,1.9135762489783297e-16,1.5423143966565695e-11,1.5420422160863072e-11,1.5426282576400201e-19,3.9584305320752357e-15
1.0441252343959273e-15,0.004023131612903226,0.0,0.0,0.010942916147459824,0.49999999958101188,7.5573468202343093e-46,1.0665252747071143e-22,1.1023802802477699e-25,4.6597615132584012e-37,3.0030421455491858e-58,9.5411483651187555e-16,6.0138465763641601e-16,1.089563010579794e-36,0.49999998897706632,1.3818624701479537e-09,9.6216731781419328e-09,4.1898818106780433e-10,3.0261648152716506e-16,1.9395301058730315e-11,1.9390996747359002e-11,3.0673189786923428e-19,5.8591976151822465e-15
1.2579620824404959e-15,0.004023131612903226,0.0,0.0,0.010942915772474731,0.49999999949529705,1.5915734110643226e-45,1.5481062147729842e-22,1.6001531927113062e-25,8.1487169838450359e-37,7.6087207318436156e-58,1.1495167294639672e-15,7.2454902721558477e-16,2.1690740012361772e-36,0.49999998672125601,1.6631903606385872e-09,1.1592182746519022e-08,5.0470301210436432e-10,4.3926048399907393e-16,2.3367457860523169e-11,2.3361209976027871e-11,5.3635792761585184e-19,8.1208778460540254e-15
1.4717989304850644e-15,0.004023131612903226,0.0,0.0,0.010942915398089597,0.49999999940961415,2.9779093724666888e-45,2.1191531584383619e-22,2.1904012492228878e-25,1.3050342072965666e-36,1.6594288842558722e-57,1.3449183417344977e-15,8.4771366594209048e-16,3.8926617750833302e-36,0.4999999844660164,1.9439505692853209e-09,1.3562689221533679e-08,5.903859304270739e-10,6.0128958789353453e-16,2.7339614372384775e-11,2.7331061848579277e-11,8.5892986104248348e-19,1.0743438377716115e-14
1.685635778529633e-15,0.004023131612903226,0.0,0.0,0.010942915024303258,0.49999999932396316,5.1157330363883095e-45,2.7796659762976816e-22,2.8731246510393774e-25,1.9604778892694061e-36,3.2535071940619587e-57,1.5403196733241181e-15,9.7087857381580123e-16,6.4746233705201529e-36,0.49999998221134634,2.2241442416613269e-09,1.5533192603192993e-08,6.7603694792133755e-10,7.8870374878968719e-16,3.1311770594754816e-11,3.1300552366730673e-11,1.2902329546839417e-18,1.3726846361870159e-14
1.8994726265742015e-15,0.004023131612903226,0.0,0.0,0.010942914651114567,0.49999999923834398,8.2381900727288058e-45,3.5296445389456158e-22,3.6483235994174344e-25,2.8052170058873823e-36,5.8878822094745891e-57,1.7357207242334765e-15,1.0940437508365833e-15,1.0160622045717303e-35,0.49999997995724482,2.5037725209878137e-09,1.7503692891504063e-08,7.6165607646804864e-10,1.001502922266757e-15,3.5283926528072069e-11,3.5269681532207264e-11,1.846048076085619e-18,1.707106895037915e-14
2.3271463226633386e-15,0.004023131612903226,0.0,0.0,0.010942913906525504,0.49999999906720133,1.852039220477054e-44,5.2979983809904876e-22,5.4761489408727859e-25,5.1586377825817708e-36,1.6166852825503267e-56,2.1265219840140049e-15,1.3403749123188287e-15,2.1974458108462004e-35,0.49999997545074237,3.0613374623328304e-09,2.1444684188109785e-08,9.3279871422072337e-10,1.5032561292822202e-15,4.3228237529299457e-11,4.3206855812073172e-11,3.3943166049901725e-18,2.4841826550093634e-14
2.7548200187524757e-15,0.004023131612903226,0.0,0.0,0.010942913164313209,0.49999999889618613,3.6325072141023114e-44,7.424213649344882e-22,7.6738788836159529e-25,8.557409317468261e-36,3.7472235971622444e-56,2.5173221210812716e-15,1.5867071503877514e-15,4.191913203738122e-35,0.49999997094650001,3.6166544926855865e-09,2.5385663111407466e-08,1.1038139386420156e-09,2.1065488535788908e-15,5.1172547379560315e-11,5.1142584702131709e-11,5.6298941579902335e-18,3.4055448398125037e-14
3.1824937148416128e-15,0.004023131612903226,0.0,0.0,0.010942912424468531,0.49999999872529821,6.4661906137644358e-44,9.9082893087917088e-22,1.0241515037668639e-24,1.3193644512588063e-35,7.6968800826357695e-56,2.908121135440454e-15,1.8330404650422682e-15,7.3076002077127944e-35,0.49999996644450867,4.1697326744397e-09,2.9326629661453663e-08,1.2747018446171812e-09,2.8113807397993231e-15,5.9116856082334488e-11,5.9076868216460312e-11,8.6788695355657581e-18,4.4711671719276742e-14
